DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
SCOPUS,105030933944,10.1007/s41060-025-01006-4,,Robustness under noise: assessing the impact of perturbed key attributes on machine learning models,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,International Journal of Data Science and Analytics,2026,Article,English,0,[],[],[],,[],[],[],,22,1,,,"NA, 2026, International Journal of Data Science and Analytics"
SCOPUS,105030923590,10.1007/s44163-026-00946-5,,A conceptual model for machine learning based noninvasive gastric cancer diagnosis using serum biomarkers,DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Review,English,1,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence"
SCOPUS,105033702589,10.1007/s44163-025-00785-w,,Machine learning integration in cryptocurrency trading and its fintech implications,DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Review,English,0,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence-a"
SCOPUS,105028505998,10.1038/s41598-025-32857-3,41402544,Machine learning prediction of long-term sickness absence due to mental disorders using Brief Job Stress Questionnaire data,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a"
SCOPUS,105036439604,10.1007/s44163-026-01048-y,,A comprehensive comparative analysis of machine learning algorithms in heart disease prediction,DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Article,English,0,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence-a-b"
SCOPUS,105028918560,10.1007/s10791-026-09956-4,,Privacy preserving epileptic seizure recognition using federated and explainable machine learning,DISCOVER COMPUTING,Discover Computing,2026,Article,English,1,[],[],[],,[],[],[],,29,1,,,"NA, 2026, Discover Computing"
SCOPUS,105030864116,10.1186/s13049-026-01565-w,41618456,Prognostic value of machine learning for brain computed tomography as a predictor of neurologic outcomes after cardiac arrest: a systematic review and meta-analysis,SCANDINAVIAN JOURNAL OF TRAUMA RESUSCITATION AND EMERGENCY MEDICINE,Scandinavian Journal of Trauma Resuscitation and Emergency Medicine,2026,Review,English,0,[],[],[],,[],[],[],,34,1,,,"NA, 2026, Scandinavian Journal of Trauma Resuscitation and Emergency Medicine"
SCOPUS,105033826588,10.1007/s10115-026-02720-6,,A model-based approach for guided parameter exploration in machine learning classifiers,KNOWLEDGE AND INFORMATION SYSTEMS,Knowledge and Information Systems,2026,Article,English,0,[],[],[],,[],[],[],,68,1,,,"NA, 2026, Knowledge and Information Systems"
SCOPUS,105037222161,10.1186/s40854-026-00927-8,,Machine learning-based portfolio optimization: comparative analysis with the all-weather portfolio strategy,FINANCIAL INNOVATION,Financial Innovation,2026,Article,English,0,[],[],[],,[],[],[],,12,1,,,"NA, 2026, Financial Innovation"
SCOPUS,105027440757,10.1038/s41524-025-01873-2,,Machine learning for phase prediction of high entropy carbide ceramics from imbalanced data,NPJ COMPUTATIONAL MATERIALS,Npj Computational Materials,2026,Article,English,16,[],[],[],,[],[],[],,12,1,,,"NA, 2026, Npj Computational Materials-a"
SCOPUS,105038028854,10.1007/s10751-026-02541-7,,Prediction and interpretation of mechanical properties of date palm fiber reinforced areca nut husk biofiller composites using explainable machine learning,INTERACTIONS,Interactions,2026,Article,English,0,[],[],[],,[],[],[],,247,1,,,"NA, 2026, Interactions"
SCOPUS,105033856651,10.1186/s12877-026-07090-w,41663995,Research on fall prediction in elderly patients with chronic diseases based on explainable machine learning: an aging perspective,BMC GERIATRICS,BMC Geriatrics,2026,Article,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Geriatrics"
SCOPUS,105033935216,10.1007/s44199-026-00165-y,,Predictive Modeling of Domestic Violence in India: A Machine Learning Perspective,JOURNAL OF STATISTICAL THEORY AND APPLICATIONS,Journal of Statistical Theory and Applications,2026,Article,English,0,[],[],[],,[],[],[],,25,1,,,"NA, 2026, Journal of Statistical Theory and Applications"
SCOPUS,105035058353,10.1007/s41939-026-01214-w,,Machine learning as a reliable tool for compressive strength prediction in pa6-cf,MULTISCALE AND MULTIDISCIPLINARY MODELING EXPERIMENTS AND DESIGN,Multiscale and Multidisciplinary Modeling Experiments and Design,2026,Article,English,0,[],[],[],,[],[],[],,9,1,,,"NA, 2026, Multiscale and Multidisciplinary Modeling Experiments and Design"
SCOPUS,105031808061,10.1038/s41598-026-39392-9,41667615,Comparative performance analysis of quantum feature maps for quantum kernel-based machine learning,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b"
SCOPUS,105030452822,10.1038/s41598-026-35508-3,41620510,Design and implementation of a 6-DoF robot arm control with object detection based on machine learning using mini microcontroller,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c"
SCOPUS,105026487023,10.1038/s41598-025-29404-5,41310013,Machine learning-based risk prediction model development for acute kidney injury in type 2 myocardial infarction patients,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d"
SCOPUS,105028671674,10.1038/s41598-025-33639-7,41507256,BEmXRD-Nets framework for novel machine learning models to predict crystal energy with diversity structures,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e"
SCOPUS,105035341807,10.1186/s12911-026-03411-6,41764481,Predicting the severity of COVID-19 using machine learning methods,BMC MEDICAL INFORMATICS AND DECISION MAKING,BMC Medical Informatics and Decision Making,2026,Article,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Medical Informatics and Decision Making-a"
SCOPUS,105035341807,10.1186/s12911-026-03411-6,41764481,Predicting the severity of COVID-19 using machine learning methods,BMC MEDICAL INFORMATICS AND DECISION MAKING,BMC Medical Informatics and Decision Making,2026,Article,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Medical Informatics and Decision Making-a-b"
SCOPUS,105034054805,10.1007/s43503-026-00087-9,,Machine learning-based prediction of the structural performance of a long-bolted steel connection,AI IN CIVIL ENGINEERING,AI in Civil Engineering,2026,Article,English,0,[],[],[],,[],[],[],,5,1,,,"NA, 2026, AI in Civil Engineering"
SCOPUS,105034915246,10.1186/s10194-026-02346-7,41913100,Forecasting migraine with time-series machine learning from mobile health data,JOURNAL OF HEADACHE AND PAIN,Journal of Headache and Pain,2026,Article,English,0,[],[],[],,[],[],[],,27,1,,,"NA, 2026, Journal of Headache and Pain"
SCOPUS,105029304221,10.1038/s41598-025-34934-z,41495381,Prediction of recovery grade in Bell’s palsy using machine learning models,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,1,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f"
SCOPUS,105029582021,10.1038/s41598-026-36047-7,41530511,A machine learning approach for opioid overdose risk prediction among Alabama Medicaid beneficiaries with opioid prescriptions,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g"
SCOPUS,105026379656,10.1007/s10791-025-09800-1,,EEPM a hybrid evolutionary and machine learning-based approach for efficient ODE integration,DISCOVER COMPUTING,Discover Computing,2026,Article,English,0,[],[],[],,[],[],[],,29,1,,,"NA, 2026, Discover Computing-a"
